instrument_name,serial_number,notes,locker_assignment_id,student_id,instrument_kind,book_accessory,case_accessory,cork_grease_accessory,ligature_accessory,mouth_piece_accessory,oil_accessory,polishing_cloth_accessory,reeds_accessory,swab_accessory,condition
Yamaha,JO9325,,21,,clarinet,0,1,1,1,1,0,0,1,1,broken
Selmer,112414,,22,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0052102,,24,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0141069,,25,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Yamaha,L24024,,26,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0141073,,27,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,1234,,28,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0140881,,29,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0140885,,30,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Vito,0959F,,45,,bass clarinet,0,1,1,1,1,0,0,1,1,decent condition
Hunter,HTBC700272,,50,,bass clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0053877,,52,,clarinet,0,1,0,0,1,0,0,1,1,decent condition
Selmer,P0052113,,82,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0141056,,83,,clarinet,0,0,1,1,1,0,0,1,1,decent condition
Selmer,P0052103,,84,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0141246,,85,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0048909,,86,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0140878,,87,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Yamaha,L22712,,88,,clarinet,0,1,0,1,1,0,0,1,1,decent condition
Yamaha,L26479,,89,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Yamaha,L25669,,92,,clarinet,0,0,0,1,1,0,0,1,1,
Jupiter,H45301,,,,clarinet,0,1,0,1,1,0,0,1,1,decent condition
Selmer,P0141059,,,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0141053,,,,clarinet,0,1,0,1,1,0,0,1,1,decent condition
Yamaha,L22934,,,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Selmer,P0052101,,,,clarinet,0,1,0,1,1,0,0,1,1,decent condition
Renard,21241,,,,oboe,0,1,1,1,1,0,0,1,1,decent condition
Yamaha,L22936,,,,clarinet,0,1,0,1,1,0,0,1,1,decent condition
Selmer,P0141041,,,,clarinet,0,1,1,1,1,0,0,1,1,decent condition
Yamaha,L25662,,,,clarinet,0,1,0,1,1,0,0,1,1,decent condition
King,7123255,,31,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Yamaha,271617,,32,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Bundy,AS13090121,,33,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Bundy,AS13080276,,34,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Selmer,1358059,,35,,alto sax,1,1,1,1,1,0,0,1,1,broken
Selmer,AK19708100,,36,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Yamaha,K34454,,38,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Bundy,AS13060343,,39,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Selmer,1358733,,44,,tenor sax,1,1,1,1,1,0,0,1,1,decent condition
Selmer,R0004610,,48,,bassoon,1,1,1,1,1,0,0,1,1,decent condition
LA,217141,,49,,tenor sax,1,1,1,1,1,0,0,1,1,decent condition
Yamaha,184660,,115,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Yamaha,299423,,120,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
Bundy,AS13090102,,111,,alto sax,1,1,1,1,1,0,0,1,1,broken
Yamaha,127301,,117,,alto sax,1,1,1,1,1,0,0,1,1,decent condition
